City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Illela,NG,1587418659,32.2,32,50,3.84,13.73,5.3
Bambous Virieux,MU,1587418550,24.0,88,75,5.7,-20.34,57.76
Kutum,SD,1587418660,20.9,14,65,2.3,14.2,24.67
Sawākin,SD,1587418661,25.02,58,0,1.04,19.11,37.33
Masterton,NZ,1587418661,15.0,84,100,0.56,-40.96,175.66
Kruisfontein,ZA,1587418534,16.96,74,98,6.71,-34.0,24.73
Bathsheba,BB,1587418399,25.0,83,75,5.7,13.22,-59.52
Gemeente Terneuzen,NL,1587418662,14.0,41,0,9.3,51.28,3.84
Provost,CA,1587418662,4.48,73,100,2.9,52.35,-110.27
Omboué,GA,1587418662,24.96,86,100,5.19,-1.57,9.26
Eirunepé,BR,1587418662,30.54,53,78,1.59,-6.66,-69.87
Popondetta,PG,1587418663,25.33,78,28,1.53,-8.75,148.25
Robertsport,LR,1587418663,27.3,82,37,1.77,6.75,-11.37
Horishni Plavni,UA,1587418663,5.52,63,3,3.55,49.01,33.65
Samarai,PG,1587418582,27.02,80,100,3.38,-10.62,150.67
Juba,SS,1587418664,25.18,52,35,2.43,4.85,31.58
Nanton,CA,1587418664,18.33,25,13,1.34,50.35,-113.77
Mayumba,GA,1587418664,25.72,85,97,6.65,-3.43,10.66
Beira,MZ,1587418578,23.0,83,20,2.6,-19.84,34.84
Khandyga,RU,1587418665,-13.15,90,98,0.65,62.67,135.6
Poum,NC,1587418555,25.17,82,24,7.45,-20.23,164.02
High Rock,BS,1587418665,29.0,83,75,8.7,26.62,-78.28
Necochea,AR,1587418666,16.11,78,100,5.36,-38.55,-58.74
Okakarara,NA,1587418667,19.35,26,67,2.88,-20.58,17.43
Patea,NZ,1587418667,14.44,98,100,2.99,-39.76,174.48
Moranbah,AU,1587418667,20.59,87,0,4.02,-22.0,148.05
Praia da Vitória,PT,1587418668,15.0,67,20,5.03,38.73,-27.07
Ancud,CL,1587418668,12.0,66,52,2.1,-41.87,-73.82
Mago,RU,1587418669,-4.45,95,100,7.7,53.25,140.18
Teya,RU,1587418669,-0.67,87,38,1.28,60.38,92.63
Zvishavane,ZW,1587418670,14.05,51,0,0.22,-20.33,30.07
Salt Lake City,US,1587418638,19.0,29,40,3.6,40.76,-111.89
Olafsvik,IS,1587418671,7.49,89,100,7.9,64.89,-23.71
Nizhniy Kuranakh,RU,1587418671,-11.33,90,46,1.32,58.84,125.49
Maniitsoq,GL,1587418671,-0.5,87,39,2.74,65.42,-52.9
Urusha,RU,1587418672,-6.99,76,100,6.29,54.05,122.9
Madarounfa,NE,1587418672,31.63,25,93,3.19,13.31,7.16
Brae,GB,1587418672,5.0,86,0,5.1,60.4,-1.35
Romanu,RO,1587418673,8.0,39,75,4.1,45.28,27.73
Kirakira,SB,1587418673,27.64,76,44,0.97,-10.45,161.92
Rāyadrug,IN,1587418673,26.77,32,57,2.99,14.7,76.87
Conceição da Barra,BR,1587418673,24.04,80,14,5.95,-18.59,-39.73
Saint George,US,1587418674,23.89,28,1,2.59,37.1,-113.58
Artigas,UY,1587418674,24.08,45,0,0.4,-30.4,-56.47
Manaure,CO,1587418674,30.0,70,20,6.2,11.78,-72.44
Masaka,UG,1587418675,18.53,62,100,1.13,-0.33,31.73
Shushenskoye,RU,1587418675,2.0,59,73,0.43,53.33,91.94
Dingle,PH,1587418676,26.5,82,97,2.96,11.0,122.67
Aykhal,RU,1587418677,-6.69,82,0,2.68,66.0,111.5
Longyearbyen,SJ,1587418677,-6.0,62,20,13.9,78.22,15.64
Achutupo,PA,1587418677,29.42,71,27,3.86,9.2,-77.98
Mitú,CO,1587418655,29.08,60,32,1.0,1.2,-70.17
Chandla,IN,1587418678,29.05,23,83,2.97,25.08,80.2
Nanortalik,GL,1587418679,-0.07,88,76,3.09,60.14,-45.24
Qaqortoq,GL,1587418680,3.0,37,54,1.0,60.72,-46.03
Rudnogorsk,RU,1587418680,-6.71,92,0,0.63,57.26,103.75
Winnemucca,US,1587418384,19.0,20,40,2.1,40.97,-117.74
Sarāhan,IN,1587418681,6.53,27,95,2.12,31.52,77.8
Bakel,SN,1587418682,33.96,14,3,5.05,14.9,-12.46
San Vicente,AR,1587418682,21.53,45,0,0.72,-26.62,-54.13
Cidreira,BR,1587418532,20.78,81,0,4.5,-30.18,-50.21
Bandarbeyla,SO,1587418683,27.97,78,99,5.55,9.49,50.81
Constitución,CL,1587418683,19.24,46,74,7.07,-35.33,-72.42
Xuanzhou,CN,1587418684,11.12,92,100,5.23,30.95,118.76
Meulaboh,ID,1587418685,26.3,85,51,2.33,4.14,96.13
Ha Giang,VN,1587418685,25.79,80,89,1.01,22.83,104.98
Salamiyah,SY,1587418686,18.63,52,7,0.78,35.01,37.05
Hobyo,SO,1587418686,29.18,73,98,5.46,5.35,48.53
Nago,JP,1587418687,19.0,88,90,2.6,26.59,127.98
Kaili,ID,1587418687,21.76,64,75,0.83,-3.46,120.21
Emerald,AU,1587418688,18.0,42,0,3.6,-23.53,148.17
Nizwá,OM,1587418689,27.95,29,65,0.76,22.93,57.53
The Valley,AI,1587418689,29.0,54,20,6.7,18.22,-63.06
Darhan,MN,1587418689,-3.1,64,0,1.72,49.49,105.92
Valença,BR,1587418650,23.91,91,26,2.38,-13.37,-39.07
Cockburn Town,TC,1587418510,26.48,81,0,6.7,21.46,-71.14
Mathathane,BW,1587418690,17.97,38,0,3.03,-22.27,28.75
Leh,IN,1587418691,0.68,18,99,0.21,34.17,77.58
Bara,NG,1587418691,32.31,24,97,2.71,10.37,10.73
Soyo,AO,1587418692,26.71,86,54,3.88,-6.13,12.37
Batagay,RU,1587418692,-10.51,91,100,1.31,67.63,134.63
Taltal,CL,1587418692,21.41,59,1,1.69,-25.4,-70.48
Joshīmath,IN,1587418693,6.67,25,88,2.34,30.57,79.57
Horasan,TR,1587418693,8.34,45,100,1.19,40.05,42.17
Pilar,BR,1587418694,27.0,78,72,3.1,-9.6,-35.96
Aitape,PG,1587418694,26.1,80,100,1.95,-3.14,142.35
Tiarei,PF,1587418694,31.0,58,73,1.5,-17.53,-149.33
Mehamn,NO,1587418695,4.0,64,75,12.9,71.04,27.85
Faya,SA,1587418695,16.0,67,62,2.6,18.39,42.45
Havøysund,NO,1587418696,4.0,69,40,11.3,71.0,24.66
Husavik,IS,1587418696,6.33,77,31,5.46,66.04,-17.34
Sarankhola,BD,1587418696,25.79,89,100,2.47,22.31,89.79
Glenwood Springs,US,1587418697,17.0,59,75,2.6,39.55,-107.32
Vigevano,IT,1587418697,12.22,98,100,0.89,45.31,8.86
Caniço,PT,1587418698,17.0,51,20,3.6,32.63,-16.85
Madimba,TZ,1587418699,25.0,94,40,3.1,-10.4,40.33
Pimentel,PE,1587418699,23.06,75,4,6.41,-6.84,-79.93
Kyzyl-Suu,KG,1587418701,6.19,30,3,1.51,42.34,78.0
Lillooet,CA,1587418702,20.0,37,1,10.3,50.69,-121.94
Baruun-Urt,MN,1587418702,-7.26,69,0,6.06,46.68,113.28
Puerto Escondido,MX,1587418702,29.0,70,20,5.1,15.85,-97.07
Batticaloa,LK,1587418703,27.41,79,34,1.58,7.71,81.69
Changji,CN,1587418703,15.0,44,9,4.0,44.02,87.32
At-Bashi,KG,1587418703,6.71,29,13,0.8,41.17,75.81
Hojāi,IN,1587418704,21.72,75,85,1.37,26.0,92.87
Kozhva,RU,1587418704,0.92,91,94,2.83,65.11,57.05
Yenagoa,NG,1587418573,25.64,89,6,2.04,4.92,6.26
Grand Falls,CA,1587418705,3.0,27,1,4.1,47.05,-67.74
Rāzole,IN,1587418706,25.05,89,28,1.39,16.48,81.83
São Miguel do Araguaia,BR,1587418707,24.8,80,40,0.89,-13.28,-50.16
Palamós,ES,1587418707,15.0,94,100,1.79,41.85,3.13
Sīrjān,IR,1587418708,16.85,39,99,3.07,29.45,55.68
Mezen',RU,1587418708,-0.01,98,100,2.4,65.85,44.24
Turan,VN,1587418708,26.0,88,40,1.0,16.07,108.22
Monte Patria,CL,1587418709,26.24,33,94,2.39,-30.69,-70.95
Skjervøy,NO,1587418566,2.57,95,100,8.93,70.03,20.97
Laredo,US,1587418709,37.0,25,1,3.6,27.51,-99.51
San Jerónimo,PE,1587418709,14.34,21,59,3.12,-11.95,-75.28
Padang,ID,1587418533,25.76,74,42,2.0,-0.95,100.35
Mangan,IN,1587418710,17.23,35,65,2.39,27.52,88.53
Puducherry,IN,1587418710,27.33,77,11,1.89,11.93,79.83
Potsdam,DE,1587418710,11.67,43,0,3.1,52.4,13.07
Elbistan,TR,1587418711,13.11,37,66,1.8,38.21,37.2
Santiago del Estero,AR,1587418711,29.74,34,0,2.74,-27.8,-64.26
Kālāvad,IN,1587418711,27.78,87,0,3.56,22.22,70.38
Sakakah,SA,1587418712,23.0,38,40,2.6,29.97,40.21
Merauke,ID,1587418713,25.64,89,100,3.54,-8.47,140.33
Henties Bay,NA,1587418716,16.67,88,85,1.79,-22.12,14.28
Toora-Khem,RU,1587418716,0.14,57,91,1.16,52.47,96.11
Yangi Marg`ilon,UZ,1587418717,16.0,48,1,3.1,40.43,71.72
Unity,CA,1587418717,3.58,74,99,2.73,52.45,-109.17
Vestmannaeyjar,IS,1587418717,8.43,90,97,12.55,63.44,-20.27
Kadoshkino,RU,1587418718,4.55,85,100,6.78,54.03,44.42
Pitimbu,BR,1587418718,26.0,88,40,3.1,-7.47,-34.81
Xiongyue,CN,1587418718,4.3,59,0,11.1,40.18,122.12
Banepā,NP,1587418719,15.0,77,75,1.0,27.63,85.52
Baharly,TM,1587418719,23.05,28,0,3.53,38.44,57.43
Tessalit,ML,1587418720,29.72,18,0,5.06,20.2,1.01
Guaratinga,BR,1587418720,25.0,78,40,3.1,-16.57,-39.57
Saint-Pierre,RE,1587418551,23.0,69,76,4.6,-21.34,55.48
Salalah,OM,1587418720,28.0,74,40,2.6,17.02,54.09
Namatanai,PG,1587418583,28.02,73,61,1.95,-3.67,152.43
Rome,US,1587418684,9.44,39,1,3.6,43.21,-75.46
Krasnovishersk,RU,1587418721,-0.47,93,61,0.84,60.41,57.08
Yumen,CN,1587418722,6.08,24,100,3.46,40.28,97.2
Naustdal,NO,1587418722,7.0,81,6,1.95,61.51,5.72
Dubrovytsya,UA,1587418722,2.52,75,3,2.24,51.57,26.57
Hervey Bay,AU,1587418723,18.33,83,5,2.68,-25.3,152.85
Petropavlovsk-Kamchatskiy,RU,1587418723,0.0,89,81,3.0,53.05,158.65
Trebinje,BA,1587418622,17.0,63,90,3.6,42.71,18.34
Semey,KZ,1587418723,12.82,42,0,4.11,50.41,80.23
Kloulklubed,PW,1587418724,25.0,94,90,4.1,7.04,134.26
Bogale,MM,1587418724,23.57,94,0,2.98,16.28,95.4
Comodoro Rivadavia,AR,1587418660,16.0,38,20,3.1,-45.87,-67.5
Grindavik,IS,1587418724,8.26,90,100,12.4,63.84,-22.43
